Date,DateTime,title,source,link,id
2025-10-22,2025-10-22 06:58:17+00:00,The £5.30 orange juice that tells the story of why supermarket prices are sky high,BBC News,https://www.bbc.com/news/articles/c397n3jl3z8o?at_medium=RSS&at_campaign=rss,3a3ef7dc48334d98982b92a40e732b16
2025-11-21,2025-11-21 08:03:37+00:00,The curious case of why Poundland is struggling during a cost-of-living crisis,BBC News,https://www.bbc.com/news/articles/c4gkgxeeyzno?at_medium=RSS&at_campaign=rss,dc77f707f85575ec9df89fd04f18ffa3
2025-11-25,2025-11-25 00:00:03+00:00,Has Britain's budget watchdog become too all-powerful?,BBC News,https://www.bbc.com/news/articles/clyx9n5p7v7o?at_medium=RSS&at_campaign=rss,b83928a78f54c2e7db169eafdade4353
2025-11-29,2025-11-29 15:14:47+00:00,Budget 2025: What's the best and worst that could happen for Labour?,BBC News,https://www.bbc.com/news/articles/cqlk5gd3kv9o?at_medium=RSS&at_campaign=rss,a5cf21bc16474e036a114b5a3e8f08db
2025-12-17,2025-12-17 14:18:10+00:00,Why this month's inflation figure may be good news for you,BBC News,https://www.bbc.com/news/articles/c0r9x1xx0x7o?at_medium=RSS&at_campaign=rss,1e0ac404b00c46847655ecd6458d9ffd
2025-12-18,2025-12-18 00:00:37+00:00,"Should more be done to tackle 'ghost jobs', vacancies that don't exist?",BBC News,https://www.bbc.com/news/articles/clyzvpp8g3vo?at_medium=RSS&at_campaign=rss,7225b23304c5c785ecbbeeb9ac33f825
2025-12-19,2025-12-19 00:07:27+00:00,Will tech trump tradition at bakers and biscuit makers?,BBC News,https://www.bbc.com/news/articles/cly5gen0gj8o?at_medium=RSS&at_campaign=rss,d09a561d7166942ce7f4931761c0a10e
2025-12-22,2025-12-22 01:05:38+00:00,Why Croatia's capital wants to hold Europe's best Christmas market,BBC News,https://www.bbc.com/news/articles/c8dy5m56477o?at_medium=RSS&at_campaign=rss,9a30792e895d23ae4953f19c9aa0433d
2025-12-23,2025-12-23 00:04:45+00:00,The showers and baths keeping data centre tech cool,BBC News,https://www.bbc.com/news/articles/cp8zd176516o?at_medium=RSS&at_campaign=rss,21f4f77446b70f1b9d2d6b53c2b0cac3
2025-12-30,2025-12-30 04:04:25+00:00,Swedish workers trial 'friendship hour' to combat loneliness,BBC News,https://www.bbc.com/news/articles/c4g5ry7749po?at_medium=RSS&at_campaign=rss,9405e0523c15aa0dec068234067a70ba
2026-01-02,2026-01-02 00:53:13+00:00,How the defence sector is battling a skills crisis,BBC News,https://www.bbc.com/news/articles/clyd1lpp1lyo?at_medium=RSS&at_campaign=rss,c8fc24c44e85a18611c403fd590647ae
2026-01-07,2026-01-07 15:37:07+00:00,How the new road safety measures could affect you,BBC News,https://www.bbc.com/news/articles/ckgxy9p117no?at_medium=RSS&at_campaign=rss,76c6831054a8516c0f968a1c78435938
2026-01-08,2026-01-08 00:00:40+00:00,How tariff disruption will continue reshaping the global economy in 2026,BBC News,https://www.bbc.com/news/articles/czejp3gep63o?at_medium=RSS&at_campaign=rss,75f47bbfbcade9ac6ffd38170c9078a0
2026-01-09,2026-01-09 00:07:59+00:00,Excel: The software that's hard to quit,BBC News,https://www.bbc.com/news/articles/cwyxkzjpp87o?at_medium=RSS&at_campaign=rss,7d57c1af23e72cf0d5a82169abea2ed9
2026-01-09,2026-01-09 15:03:39+00:00,Martin Lewis on 'the most dangerous form of mainstream debt in the UK',BBC News,https://www.bbc.com/news/videos/c4grd6e71nwo?at_medium=RSS&at_campaign=rss,421bec8808689c3ebf769a65d7accfac
2026-01-11,2026-01-11 01:26:18+00:00,The real impact of roadworks on the country - and why they're set to get worse,BBC News,https://www.bbc.com/news/articles/c23e3d1r17go?at_medium=RSS&at_campaign=rss,278a81bc98151e0ec0f21a25c72c47ad
2026-01-11,2026-01-11 01:58:29+00:00,'I had no electricity for six months': US families struggle with soaring energy prices,BBC News,https://www.bbc.com/news/articles/c1dz0dz0zkvo?at_medium=RSS&at_campaign=rss,03d1b6bf05db59e7deb9838741bf4e19
2026-01-12,2026-01-12 00:02:08+00:00,Why luxury carmakers are now building glitzy skyscrapers,BBC News,https://www.bbc.com/news/articles/clyenj18vvxo?at_medium=RSS&at_campaign=rss,c911b30c552c03d7024cb28d2d0a6f44
2026-01-13,2026-01-13 00:01:51+00:00,Why are more bosses sharing the top job?,BBC News,https://www.bbc.com/news/articles/c62n5j96nqpo?at_medium=RSS&at_campaign=rss,b0618d711aee5e2d71a0f69994c61173
2026-01-13,2026-01-13 01:30:00+00:00,Crossing Continents,BBC News,https://www.bbc.co.uk/sounds/play/m002ppxv?at_medium=RSS&at_campaign=rss,64cb6ac31dc346e6f5a83ce81d71ae02
2026-01-14,2026-01-14 00:07:50+00:00,"Honey, I shrunk the data centres: Is small the new big?",BBC News,https://www.bbc.com/news/articles/cd0ynenr1eno?at_medium=RSS&at_campaign=rss,0189feb4c3864b74bb85d6532b5b7c0f
2026-01-15,2026-01-15 12:30:00+00:00,The Bottom Line,BBC News,https://www.bbc.co.uk/sounds/play/m002pqnp?at_medium=RSS&at_campaign=rss,0c452665d541508e90468045642ca1d3
2026-01-16,2026-01-16 00:04:26+00:00,'They are essential':  How smoke detectors are evolving,BBC News,https://www.bbc.com/news/articles/cwynxdnj927o?at_medium=RSS&at_campaign=rss,25339acee01a62bdcf5750211c781630
2026-01-16,2026-01-16 01:08:55+00:00,How realistic is India's quest for magnets made of rare earths,BBC News,https://www.bbc.com/news/articles/c9qe1d8p5xgo?at_medium=RSS&at_campaign=rss,f8fb8117c8640aa56a3b689bda3af2b6
2026-01-16,2026-01-16 12:25:19+00:00,Martin Lewis on why you should check your tax code now,BBC News,https://www.bbc.com/news/videos/cpdyj2d8y7wo?at_medium=RSS&at_campaign=rss,f0a707c4bf90415289cd53f3b3d40132
2026-01-19,2026-01-19 10:26:30+00:00,'The finest in the world': Why the US is buying icebreakers from Finland,BBC News,https://www.bbc.com/news/articles/c0q48d71ke8o?at_medium=RSS&at_campaign=rss,aeb3447a60a101d5a7cf90e0862d0cca
2026-01-19,2026-01-19 12:52:11+00:00,Are we getting more savvy about our credit scores?,BBC News,https://www.bbc.com/news/videos/cvgdmke0pzko?at_medium=RSS&at_campaign=rss,a44ed940993df6a2db7bbc2b58eb26c9
2026-01-19,2026-01-19 14:13:10+00:00,How could Europe respond to Trump's Greenland tariffs?,BBC News,https://www.bbc.com/news/articles/cgk8z8xxpgmo?at_medium=RSS&at_campaign=rss,0c441835f057cf81dae51be33dc2ec19
2026-01-19,2026-01-19 23:51:12+00:00,Hiring woes and 'super high' prices: Voters say Trump's progress on the US economy is mixed,BBC News,https://www.bbc.com/news/articles/clygmmm1rnpo?at_medium=RSS&at_campaign=rss,8de8f0d3597fc9f6137e9a604473e59d
2026-01-20,2026-01-20 00:00:11+00:00,Are 'tech dense' farms the future of farming?,BBC News,https://www.bbc.com/news/articles/c78e4l3rm22o?at_medium=RSS&at_campaign=rss,518e33a6a4de71a0f9c40b45e4a9c94e
2026-01-20,2026-01-20 01:15:14+00:00,More than 100 vehicles pile up on US motorway after crash,BBC News,https://www.bbc.com/news/videos/cly9kdklzrlo?at_medium=RSS&at_campaign=rss,6f92d648d5fbd8c78cabc7b4937525ec
2026-01-20,2026-01-20 09:43:17+00:00,Water companies to face regular MOT-style checks in industry shake-up,BBC News,https://www.bbc.com/news/articles/cwygpg281dno?at_medium=RSS&at_campaign=rss,1feb9a763584295dc9c3daf11c44bf1b
2026-01-20,2026-01-20 10:36:28+00:00,"Greenland 'will stay Greenland', former Trump adviser declares",BBC News,https://www.bbc.com/news/articles/c98p6m0r53no?at_medium=RSS&at_campaign=rss,6853a32219ea77687c9504da873b3691
2026-01-20,2026-01-20 10:52:19+00:00,Wage growth slows as number of people employed falls,BBC News,https://www.bbc.com/news/articles/cddgrg87ly5o?at_medium=RSS&at_campaign=rss,a127a2911b807137dcc7801e6e3487d6
2026-01-20,2026-01-20 12:07:54+00:00,Toy sellers keep close watch on social media ban,BBC News,https://www.bbc.com/news/articles/c07x5g594neo?at_medium=RSS&at_campaign=rss,e9b70b38126244e7338d977f75dd872b
2026-01-20,2026-01-20 13:14:59+00:00,BBC visits UN compound Israel is demolishing in East Jerusalem,BBC News,https://www.bbc.com/news/videos/cj0n127y9eqo?at_medium=RSS&at_campaign=rss,5bfb4688d1fabcdacbd2405c9f9ccba9
2026-01-20,2026-01-20 13:28:09+00:00,UK consulting on bringing in social media ban for under 16s,BBC News,https://www.bbc.com/news/articles/cgm4xpyxp7lo?at_medium=RSS&at_campaign=rss,3a3c7c4592fd1ed474783c8f8bdce397
2026-01-20,2026-01-20 15:12:51+00:00,Environment Secretary: South East Water boss 'should not get bonus',BBC News,https://www.bbc.com/news/articles/czjgp89le7do?at_medium=RSS&at_campaign=rss,7e9f9312fcf68fb97bc308d02ee77b2e
